"geographic name, english","geographic name, french","georaphie type, english","georaphie type, french",census division code,economic region code,province code,canadian heritage region code,Total,"English mother tongue, adjusted","French mother tongue, adjusted","Other mother tongue, adjusted"
"Division No.  7, Subd. M","Division No.  7, Subd. M",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"2,060","2,033",20,8
"Division No.  7, Subd. L","Division No.  7, Subd. L",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"1,275","1,258",13,5
"Division No.  7, Subd. K","Division No.  7, Subd. K",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"1,225","1,220", -   ,5
Clarenville,Clarenville,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"5,910","5,803",8,100
"Division No.  7, Subd. J","Division No.  7, Subd. J",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,495,495, -   , -   
Trinity (Trinity Bay),Trinity (Trinity Bay),census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,135,135, -   , -   
Port Rexton,Port Rexton,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,335,335, -   , -   
"Division No.  7, Subd. I","Division No.  7, Subd. I",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,105,105, -   , -   
Elliston,Elliston,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,335,335, -   , -   
Trinity Bay North,Trinity Bay North,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"1,825","1,820", -   ,5
Bonavista,Bonavista,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"3,515","3,485",10,20
"Division No.  7, Subd. G","Division No.  7, Subd. G",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,395,395, -   , -   
Keels,Keels,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,60,60, -   , -   
Duntara,Duntara,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,45,45, -   , -   
King's Cove,King's Cove,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,110,110, -   , -   
"Division No.  7, Subd. F","Division No.  7, Subd. F",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,965,963,3, -   
"Division No.  7, Subd. E","Division No.  7, Subd. E",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"2,715","2,698",10,8
Musgravetown,Musgravetown,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,565,550,10,5
Port Blandford,Port Blandford,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,480,480, -   , -   
Traytown,Traytown,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,285,285, -   , -   
"Division No.  7, Subd. D","Division No.  7, Subd. D",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,230,230, -   , -   
Savage Cove-Sandy Cove,Savage Cove-Sandy Cove,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,135,130, -   ,5
Terra Nova,Terra Nova,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,85,85, -   , -   
Happy Adventure,Happy Adventure,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,220,215, -   ,5
Eastport,Eastport,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,480,470,5,5
Sandringham,Sandringham,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,270,270, -   , -   
Glovertown,Glovertown,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"2,055","2,038",8,10
Salvage,Salvage,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,135,135, -   , -   
Gambo,Gambo,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"1,990","1,973",5,13
St. Brendan's,St. Brendan's,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,150,145,5, -   
Hare Bay,Hare Bay,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"1,030","1,030", -   , -   
Centreville-Wareham-Trinity,Centreville-Wareham-Trinity,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"1,160","1,155", -   ,5
Greenspond,Greenspond,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,305,305, -   , -   
"Division No.  7, Subd. A","Division No.  7, Subd. A",census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,140,140, -   , -   
Dover,Dover,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,675,673, -   ,3
New-Wes-Valley,New-Wes-Valley,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,"2,220","2,200", -   ,20
Indian Bay,Indian Bay,census subdivision,Subdivision de recensement,cd1007,er1040,pr10,pch01,175,175, -   , -   
"Division No.  8, Subd. M","Division No.  8, Subd. M",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,165,165, -   , -   
Lumsden,Lumsden,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,540,540, -   , -   
Musgrave Harbour,Musgrave Harbour,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"1,015","1,015", -   , -   
"Division No.  8, Subd. L","Division No.  8, Subd. L",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"3,090","3,080", -   ,10
Carmanville,Carmanville,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,720,720, -   , -   
Fogo Island Region,Fogo Island Region,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,415,410,5, -   
Fogo,Fogo,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,655,655, -   , -   
Joe Batt's Arm-Barr'd Islands-Shoal Bay,Joe Batt's Arm-Barr'd Islands-Shoal Bay,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,680,680, -   , -   
Tilting,Tilting,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,205,205, -   , -   
Change Islands,Change Islands,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,255,255, -   , -   
Seldom-Little Seldom,Seldom-Little Seldom,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,425,425, -   , -   
"Division No.  8, Subd. I","Division No.  8, Subd. I",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,210,205,5, -   
Crow Head,Crow Head,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,205,205, -   , -   
"Division No.  8, Subd. H","Division No.  8, Subd. H",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"2,035","2,035", -   , -   
Cottlesville,Cottlesville,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,275,270, -   ,5
Summerford,Summerford,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,850,850, -   , -   
Twillingate,Twillingate,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"2,235","2,210",20,5
"Division No.  8, Subd. G","Division No.  8, Subd. G",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,450,443,5,3
Campbellton,Campbellton,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,525,520,5, -   
Birchy Bay,Birchy Bay,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,565,565, -   , -   
Comfort Cove-Newstead,Comfort Cove-Newstead,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,450,450, -   , -   
Baytona,Baytona,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,265,265, -   , -   
"Division No.  8, Subd. F","Division No.  8, Subd. F",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,865,860,5, -   
Embree,Embree,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,670,665,5, -   
Lewisporte,Lewisporte,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"3,395","3,365",10,20
Little Burnt Bay,Little Burnt Bay,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,295,295, -   , -   
"Division No.  8, Subd. E","Division No.  8, Subd. E",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,535,530,5, -   
Point of Bay,Point of Bay,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,160,160, -   , -   
Leading Tickles,Leading Tickles,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,325,325, -   , -   
Point Leamington,Point Leamington,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,620,615,5, -   
Pilley's Island,Pilley's Island,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,300,300, -   , -   
Triton,Triton,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,995,990,5, -   
Brighton,Brighton,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,170,170, -   , -   
Lushes Bight-Beaumont-Beaumont North,Lushes Bight-Beaumont-Beaumont North,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,225,220,5, -   
"Division No.  8, Subd. C","Division No.  8, Subd. C",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,530,525,5, -   
South Brook,South Brook,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,490,485,5, -   
Robert's Arm,Robert's Arm,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,805,805, -   , -   
Springdale,Springdale,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"2,750","2,720",10,20
Port Anson,Port Anson,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,170,165,5, -   
Little Bay,Little Bay,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,110,110, -   , -   
Little Bay Islands,Little Bay Islands,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,100,95,5, -   
"Division No.  8, Subd. P","Division No.  8, Subd. P",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,340,335,5, -   
Beachside,Beachside,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,155,150,5, -   
"Division No.  8, Subd. O","Division No.  8, Subd. O",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,335,330,5, -   
King's Point,King's Point,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,675,675, -   , -   
Nippers Harbour,Nippers Harbour,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,125,125, -   , -   
Burlington,Burlington,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,345,345, -   , -   
Middle Arm,Middle Arm,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,470,470, -   , -   
"Division No.  8, Subd. A","Division No.  8, Subd. A",census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,355,355, -   , -   
Fleur de Lys,Fleur de Lys,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,265,265, -   , -   
LaScie,LaScie,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,895,890,5, -   
Brent's Cove,Brent's Cove,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,180,180, -   , -   
Pacquet,Pacquet,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,185,185, -   , -   
Baie Verte,Baie Verte,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,"1,305","1,295",5,5
Seal Cove (White Bay),Seal Cove (White Bay),census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,300,300, -   , -   
Coachman's Cove,Coachman's Cove,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,90,90, -   , -   
Westport,Westport,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,220,220, -   , -   
Ming's Bight,Ming's Bight,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,330,330, -   , -   
Woodstock,Woodstock,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,195,190, -   ,5
Miles Cove,Miles Cove,census subdivision,Subdivision de recensement,cd1008,er1040,pr10,pch01,135,135, -   , -   
"Division No.  9, Subd. F","Division No.  9, Subd. F",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,80,75, -   ,5
Englee,Englee,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,580,580, -   , -   
Roddickton-Bide Arm,Roddickton-Bide Arm,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,"1,035","1,025", -   ,10
Conche,Conche,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,180,180, -   , -   
"Division No.  9, Subd. A","Division No.  9, Subd. A",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,115,115, -   , -   
Trout River,Trout River,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,575,575, -   , -   
"Woody Point, Bonne Bay","Woody Point, Bonne Bay",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,280,280, -   , -   
Norris Point,Norris Point,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,675,670, -   ,5
Rocky Harbour,Rocky Harbour,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,980,975,5, -   
Daniel's Harbour,Daniel's Harbour,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,265,265, -   , -   
Cow Head,Cow Head,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,475,475, -   , -   
Parson's Pond,Parson's Pond,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,480,475,5, -   
Hawke's Bay,Hawke's Bay,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,340,340, -   , -   
Port Saunders,Port Saunders,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,675,670, -   ,5
St. Pauls,St. Pauls,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,260,260, -   , -   
"Division No.  9, Subd. C","Division No.  9, Subd. C",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,"2,730","2,728",3, -   
Port au Choix,Port au Choix,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,840,825,5,10
Anchor Point,Anchor Point,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,330,325, -   ,5
Flower's Cove,Flower's Cove,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,270,270, -   , -   
Bird Cove,Bird Cove,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,180,180, -   , -   
Main Brook,Main Brook,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,265,265, -   , -   
St. Anthony,St. Anthony,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,"2,330","2,285",3,43
Glenburnie-Birchy Head-Shoal Brook,Glenburnie-Birchy Head-Shoal Brook,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,260,255,5, -   
"Division No.  9, Subd. D","Division No.  9, Subd. D",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,815,815, -   , -   
St. Lunaire-Griquet,St. Lunaire-Griquet,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,665,660, -   ,5
Cook's Harbour,Cook's Harbour,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,75,75, -   , -   
Raleigh,Raleigh,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,200,200, -   , -   
Goose Cove East,Goose Cove East,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,210,210, -   , -   
"Division No.  9, Subd. H","Division No.  9, Subd. H",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,85,85, -   , -   
Bellburns,Bellburns,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,65,65, -   , -   
"Division No.  9, Subd. G","Division No.  9, Subd. G",census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,50,50, -   , -   
River of Ponds,River of Ponds,census subdivision,Subdivision de recensement,cd1009,er1030,pr10,pch01,230,228,3, -   
"Division No. 10, Subd. A SNO","Division No. 10, Subd. A SNO",census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,50,50, -   , -   
L'Anse au Loup,L'Anse au Loup,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,550,545,5, -   
Red Bay,Red Bay,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,190,190, -   , -   
L'Anse-au-Clair,L'Anse-au-Clair,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,200,193,8, -   
Forteau,Forteau,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,405,395,5,5
West St. Modeste,West St. Modeste,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,120,120, -   , -   
Pinware,Pinware,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,110,110, -   , -   
"Division No. 10, Subd. B","Division No. 10, Subd. B",census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,350,350, -   , -   
Port Hope Simpson,Port Hope Simpson,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,445,445, -   , -   
St. Lewis,St. Lewis,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,210,210, -   , -   
Mary's Harbour,Mary's Harbour,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,365,365, -   , -   
"Cartwright, Labrador","Cartwright, Labrador",census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,520,520, -   , -   
Charlottetown (Labrador),Charlottetown (Labrador),census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,310,310, -   , -   
"Division No. 10, Subd. C","Division No. 10, Subd. C",census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,55,55, -   , -   
North West River,North West River,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,555,535, -   ,20
Happy Valley-Goose Bay,Happy Valley-Goose Bay,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,"7,455","7,183",75,198
"Division No. 10, Subd. D","Division No. 10, Subd. D",census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,640,630,5,5
Labrador City,Labrador City,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,"7,355","6,988",218,150
Wabush,Wabush,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,"1,855","1,785",43,28
Natuashish  2,Natuashish  2,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,930,70, -   ,860
Sheshatshiu 3,Sheshatshiu 3,census subdivision,Subdivision de recensement,cd1010,er1030,pr10,pch01,"1,310",165,5,"1,140"
Rigolet,Rigolet,census subdivision,Subdivision de recensement,cd1011,er1030,pr10,pch01,305,290, -   ,15
Postville,Postville,census subdivision,Subdivision de recensement,cd1011,er1030,pr10,pch01,210,205, -   ,5
Makkovik,Makkovik,census subdivision,Subdivision de recensement,cd1011,er1030,pr10,pch01,355,340, -   ,15
Hopedale,Hopedale,census subdivision,Subdivision de recensement,cd1011,er1030,pr10,pch01,555,463, -   ,93
Nain,Nain,census subdivision,Subdivision de recensement,cd1011,er1030,pr10,pch01,"1,190",748, -   ,443
Lot 64,Lot 64,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,910,893,8,10
Murray Harbour,Murray Harbour,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,320,315, -   ,5
Murray River,Murray River,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,335,330,5, -   
Lot 63,Lot 63,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,920,900,10,10
Lot 61,Lot 61,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,795,785,5,5
Lot 59,Lot 59,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,"1,210","1,168",20,23
Lot 66,Lot 66,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,200,185,5,10
Lot 51,Lot 51,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,770,743,13,15
Lot 52,Lot 52,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,795,770,10,15
Montague,Montague,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,"1,825","1,780",23,23
Lot 53,Lot 53,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,455,445, -   ,10
Cardigan,Cardigan,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,330,323, -   ,8
"Kings, Royalty","Kings, Royalty",census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,290,290, -   , -   
Georgetown,Georgetown,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,675,580,5,90
Lot 54,Lot 54,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,415,400,5,10
Lot 55,Lot 55,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,380,370,5,5
Lot 56,Lot 56,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,410,405, -   ,5
Lot 43,Lot 43,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,740,730,5,5
Lot 44,Lot 44,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,815,768,35,13
Lot 45,Lot 45,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,455,445,5,5
Souris,Souris,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,"1,125","1,078",15,33
Lot 46,Lot 46,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,365,350,5,10
Lot 47,Lot 47,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,500,485,10,5
Lot 42,Lot 42,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,270,270, -   , -   
Lot 41,Lot 41,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,455,435,10,10
St. Peters Bay,St. Peters Bay,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,255,250,5, -   
Lot 40,Lot 40,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,435,420,5,10
Morell,Morell,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,320,305,5,10
Lot 39,Lot 39,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,595,583,5,8
Lot 38,Lot 38,census subdivision,Subdivision de recensement,cd1101,er1110,pr11,pch01,520,505,5,10
Lot 62,Lot 62,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,470,460,5,5
Lot 60,Lot 60,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,310,290,10,10
Lot 58,Lot 58,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,485,470,10,5
Lot 57,Lot 57,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,915,860,13,43
Lot 50,Lot 50,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,850,815,10,25
Lot 49,Lot 49,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,075","1,025",10,40
Lot 48,Lot 48,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,910","1,863",30,18
Lot 31,Lot 31,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,640","1,578",30,33
Lot 65,Lot 65,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"2,195","2,100",40,55
Lot 30,Lot 30,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,840,803,18,20
Rocky Point 3,Rocky Point 3,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,50,45, -   ,5
Lot 29,Lot 29,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,895,870,10,15
Victoria,Victoria,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,100,95, -   ,5
Meadowbank,Meadowbank,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,340,320,15,5
Crapaud,Crapaud,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,290,285, -   ,5
Lot 67,Lot 67,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,825,790,15,20
Clyde River,Clyde River,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,575,550,15,10
Lot 20,Lot 20,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,785,740,30,15
Lot 21,Lot 21,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,860,825,15,20
Miltonvale Park,Miltonvale Park,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,125","1,073",28,25
Lot 22,Lot 22,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,565,535,15,15
Lot 23,Lot 23,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,005",945,18,43
Hunter River,Hunter River,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,295,275,10,10
Lot 24,Lot 24,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,655","1,533",83,40
Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.,Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,265,253,13, -   
North Rustico,North Rustico,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,585,553,28,5
Brackley,Brackley,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,335,330,5, -   
Lot 33,Lot 33,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,195","1,140",25,30
Union Road,Union Road,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,235,215,10,10
Breadalbane,Breadalbane,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,170,165,5, -   
Lot 34,Lot 34,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"2,580","2,495",33,53
Lot 35,Lot 35,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"1,640","1,593",28,20
Lot 36,Lot 36,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,745,719,14,12
Scotchfort 4,Scotchfort 4,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,145,120, -   ,25
Lot 37,Lot 37,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,590,575,10,5
Mount Stewart,Mount Stewart,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,220,220, -   , -   
Winsloe South,Winsloe South,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,230,220,5,5
Warren Grove,Warren Grove,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,370,365,5, -   
Charlottetown,Charlottetown,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"33,610","29,879",784,"2,947"
Stratford,Stratford,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"8,570","7,948",243,380
Cornwall,Cornwall,census subdivision,Subdivision de recensement,cd1102,er1110,pr11,pch01,"5,160","4,893",130,138
Lot 28,Lot 28,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,885,863,13,10
Borden-Carleton,Borden-Carleton,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,750,735,15, -   
Lot 27,Lot 27,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,810,793,13,5
Kinkora,Kinkora,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,335,325,5,5
Lot 26,Lot 26,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,030","1,005",15,10
Central Bedeque,Central Bedeque,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,160,160, -   , -   
Lot 25,Lot 25,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,170","1,135",30,5
Lot 19,Lot 19,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,895","1,840",35,20
